12:58:50.107 AM Ruch piłki numer 4: Pozycja: x=207,64275, y=418,31211, Przemieszczenie: x=0,97991, y=1,8887
12:58:50.103 AM Ruch piłki numer 2: Pozycja: x=18,82317, y=208,7988, Przemieszczenie: x=-3,76439, y=-2,71983
12:58:50.114 AM Ruch piłki numer 6: Pozycja: x=10,26743, y=396,43138, Przemieszczenie: x=-3,16827, y=1,32677
12:58:50.103 AM Ruch piłki numer 3: Pozycja: x=392,66828, y=97,30877, Przemieszczenie: x=-3,98772, y=-2,28419
12:58:50.103 AM Ruch piłki numer 1: Pozycja: x=358,52823, y=458,66871, Przemieszczenie: x=-2,79944, y=-0,42738
12:58:50.111 AM Ruch piłki numer 5: Pozycja: x=323,54793, y=25,00864, Przemieszczenie: x=2,22948, y=-2,26929
12:58:50.126 AM Ruch piłki numer 9: Pozycja: x=210,52402, y=360,69789, Przemieszczenie: x=-2,05889, y=1,98177
12:58:50.118 AM Ruch piłki numer 7: Pozycja: x=91,09758, y=424,00517, Przemieszczenie: x=-2,35944, y=-0,91191
12:58:50.130 AM Ruch piłki numer 10: Pozycja: x=495,25399, y=83,61139, Przemieszczenie: x=-3,74168, y=-3,60113
12:58:50.122 AM Ruch piłki numer 8: Pozycja: x=123,3327, y=58,87033, Przemieszczenie: x=-1,71423, y=1,86744
12:58:50.134 AM Ruch piłki numer 11: Pozycja: x=63,41989, y=250,53957, Przemieszczenie: x=-0,93354, y=1,1362
12:58:50.137 AM Ruch piłki numer 12: Pozycja: x=483,31887, y=407,04917, Przemieszczenie: x=3,90001, y=-3,97302
12:58:50.141 AM Ruch piłki numer 13: Pozycja: x=380,25231, y=474,82059, Przemieszczenie: x=0,32438, y=0,79247
12:58:50.149 AM Ruch piłki numer 14: Pozycja: x=73,59803, y=42,72013, Przemieszczenie: x=1,42, y=-3,19995
12:58:50.152 AM Ruch piłki numer 2: Pozycja: x=15,05879, y=206,07897, Przemieszczenie: x=-3,76439, y=-2,71983
12:58:50.152 AM Ruch piłki numer 3: Pozycja: x=388,68056, y=95,02457, Przemieszczenie: x=-3,98772, y=-2,28419
12:58:50.152 AM Ruch piłki numer 7: Pozycja: x=88,73814, y=423,09326, Przemieszczenie: x=-2,35944, y=-0,91191
12:58:50.152 AM Ruch piłki numer 1: Pozycja: x=355,72879, y=458,24133, Przemieszczenie: x=-2,79944, y=-0,42738
12:58:50.152 AM Ruch piłki numer 6: Pozycja: x=7,09917, y=397,75815, Przemieszczenie: x=-3,16827, y=1,32677
12:58:50.152 AM Ruch piłki numer 4: Pozycja: x=208,62266, y=420,20081, Przemieszczenie: x=0,97991, y=1,8887
12:58:50.152 AM Ruch piłki numer 5: Pozycja: x=325,77741, y=22,73935, Przemieszczenie: x=2,22948, y=-2,26929
12:58:50.152 AM Ruch piłki numer 8: Pozycja: x=121,61847, y=60,73776, Przemieszczenie: x=-1,71423, y=1,86744
12:58:50.152 AM Ruch piłki numer 10: Pozycja: x=491,51231, y=80,01026, Przemieszczenie: x=-3,74168, y=-3,60113
12:58:50.152 AM Ruch piłki numer 9: Pozycja: x=208,46513, y=362,67966, Przemieszczenie: x=-2,05889, y=1,98177
12:58:50.153 AM Ruch piłki numer 15: Pozycja: x=266,45534, y=380,68797, Przemieszczenie: x=-0,60298, y=2,07613
12:58:50.156 AM Ruch piłki numer 11: Pozycja: x=62,48636, y=251,67577, Przemieszczenie: x=-0,93354, y=1,1362
12:58:50.159 AM Ruch piłki numer 12: Pozycja: x=487,21888, y=403,07615, Przemieszczenie: x=3,90001, y=-3,97302
12:58:50.163 AM Ruch piłki numer 13: Pozycja: x=380,57669, y=475,61306, Przemieszczenie: x=0,32438, y=0,79247
12:58:50.171 AM Ruch piłki numer 14: Pozycja: x=75,01804, y=39,52018, Przemieszczenie: x=1,42, y=-3,19995
12:58:50.173 AM Ruch piłki numer 4: Pozycja: x=209,60257, y=422,0895, Przemieszczenie: x=0,97991, y=1,8887
12:58:50.173 AM Ruch piłki numer 1: Pozycja: x=352,92935, y=457,81395, Przemieszczenie: x=-2,79944, y=-0,42738
12:58:50.173 AM Ruch piłki numer 6: Pozycja: x=3,9309, y=399,08492, Przemieszczenie: x=-3,16827, y=1,32677
12:58:50.173 AM Ruch piłki numer 5: Pozycja: x=328,00689, y=20,47006, Przemieszczenie: x=2,22948, y=-2,26929
12:58:50.173 AM Ruch piłki numer 9: Pozycja: x=206,40624, y=364,66143, Przemieszczenie: x=-2,05889, y=1,98177
12:58:50.173 AM Ruch piłki numer 10: Pozycja: x=487,77063, y=76,40912, Przemieszczenie: x=-3,74168, y=-3,60113
12:58:50.173 AM Ruch piłki numer 8: Pozycja: x=119,90424, y=62,6052, Przemieszczenie: x=-1,71423, y=1,86744
12:58:50.173 AM Ruch piłki numer 7: Pozycja: x=86,3787, y=422,18135, Przemieszczenie: x=-2,35944, y=-0,91191
12:58:50.173 AM Ruch piłki numer 3: Pozycja: x=384,69285, y=92,74038, Przemieszczenie: x=-3,98772, y=-2,28419
12:58:50.173 AM Ruch piłki numer 15: Pozycja: x=265,85235, y=382,7641, Przemieszczenie: x=-0,60298, y=2,07613
12:58:50.173 AM Ruch piłki numer 2: Pozycja: x=11,2944, y=203,35914, Przemieszczenie: x=-3,76439, y=-2,71983
12:58:50.177 AM Ruch piłki numer 11: Pozycja: x=61,55282, y=252,81197, Przemieszczenie: x=-0,93354, y=1,1362
12:58:50.180 AM Ruch piłki numer 12: Pozycja: x=491,1189, y=399,10313, Przemieszczenie: x=3,90001, y=-3,97302
12:58:50.184 AM Ruch piłki numer 13: Pozycja: x=380,90107, y=476,40553, Przemieszczenie: x=0,32438, y=0,79247
12:58:50.192 AM Ruch piłki numer 14: Pozycja: x=76,43804, y=36,32023, Przemieszczenie: x=1,42, y=-3,19995
12:58:50.194 AM Ruch piłki numer 5: Pozycja: x=330,23636, y=18,20077, Przemieszczenie: x=2,22948, y=-2,26929
12:58:50.194 AM Ruch piłki numer 7: Pozycja: x=84,01926, y=421,26944, Przemieszczenie: x=-2,35944, y=-0,91191
12:58:50.194 AM Ruch piłki numer 2: Pozycja: x=7,53001, y=200,63932, Przemieszczenie: x=-3,76439, y=-2,71983
12:58:50.194 AM Ruch piłki numer 3: Pozycja: x=380,70513, y=90,45618, Przemieszczenie: x=-3,98772, y=-2,28419
12:58:50.194 AM Ruch piłki numer 6: Pozycja: x=0,76264, y=400,41169, Przemieszczenie: x=-3,16827, y=1,32677
12:58:50.194 AM Ruch piłki numer 10: Pozycja: x=484,02895, y=72,80799, Przemieszczenie: x=-3,74168, y=-3,60113
12:58:50.194 AM Ruch piłki numer 9: Pozycja: x=204,34735, y=366,6432, Przemieszczenie: x=-2,05889, y=1,98177
12:58:50.194 AM Ruch piłki numer 15: Pozycja: x=265,24937, y=384,84023, Przemieszczenie: x=-0,60298, y=2,07613
12:58:50.194 AM Ruch piłki numer 8: Pozycja: x=118,19002, y=64,47264, Przemieszczenie: x=-1,71423, y=1,86744
12:58:50.194 AM Ruch piłki numer 1: Pozycja: x=350,12991, y=457,38657, Przemieszczenie: x=-2,79944, y=-0,42738
12:58:50.194 AM Ruch piłki numer 4: Pozycja: x=210,58248, y=423,9782, Przemieszczenie: x=0,97991, y=1,8887
12:58:50.197 AM Ruch piłki numer 11: Pozycja: x=60,61928, y=253,94818, Przemieszczenie: x=-0,93354, y=1,1362
12:58:50.200 AM Ruch piłki numer 12: Pozycja: x=495,01891, y=395,13011, Przemieszczenie: x=3,90001, y=-3,97302
12:58:50.204 AM Ruch piłki numer 13: Pozycja: x=381,22545, y=477,198, Przemieszczenie: x=0,32438, y=0,79247
12:58:50.212 AM Ruch piłki numer 14: Pozycja: x=77,85805, y=33,12028, Przemieszczenie: x=1,42, y=-3,19995
12:58:50.214 AM Ruch piłki numer 4: Pozycja: x=211,56239, y=425,8669, Przemieszczenie: x=0,97991, y=1,8887
12:58:50.214 AM Ruch piłki numer 9: Pozycja: x=202,28846, y=368,62497, Przemieszczenie: x=-2,05889, y=1,98177
12:58:50.214 AM Ruch piłki numer 2: Pozycja: x=3,76563, y=197,91949, Przemieszczenie: x=-3,76439, y=-2,71983
12:58:50.214 AM Ruch piłki numer 8: Pozycja: x=116,47579, y=66,34008, Przemieszczenie: x=-1,71423, y=1,86744
12:58:50.214 AM Ruch piłki numer 5: Pozycja: x=332,46584, y=15,93148, Przemieszczenie: x=2,22948, y=-2,26929
12:58:50.214 AM Ruch piłki numer 1: Pozycja: x=347,33047, y=456,95919, Przemieszczenie: x=-2,79944, y=-0,42738
12:58:50.214 AM Ruch piłki numer 7: Pozycja: x=81,65982, y=420,35753, Przemieszczenie: x=-2,35944, y=-0,91191
